,,,,,,,,,,,,,,,,,,,,,,,,,,,,
At this moment you have selected:,,,1310,values (out of 1310 in total).,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,USED?,ECOSYSTEM,,SERVICE,,CASE STUDY LOCATION,,,,,,,,,,VALUE INFORMATION,,,,,,,ADDITIONAL INFORMATION,,REFERENCE,,,
12,TRUE,Tropical Forest,Tropical rain forests,Food,NTFPs [food only!],Indonesia,Lower Middle Income,Low density,Protected,Province / Region,"Gunung Leuser National Park, Darul Hasanah, Indonesia",South-Eastern Asia,Asia,"  3°30'0.00""N"," 97°30'0.00""E",1999,FALSE,Direct market pricing,Annual,22.744,USD/ha/yr,US Dollar,,2500000,"Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen",2003,"Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62.","Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen (2003) Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62."
13,FALSE,Tropical Forest,Tropical rain forests,Raw materials,Timber,Indonesia,Lower Middle Income,Low density,Protected,Province / Region,"Gunung Leuser National Park, Darul Hasanah, Indonesia",South-Eastern Asia,Asia,"  3°30'0.00""N"," 97°30'0.00""E",2000,FALSE,Direct market pricing,Net Present Value,1004500000,USD,US Dollar,,2500000,"Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen",2003,"Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62.","Van Beukering, P.J.H., H.S.J. Cesar and M.A. Jansen (2003) Economic valuation of the Leuser National Park on Sumatra, Indonesia. Ecological Economics 44(1): 43-62."
14,TRUE,Tropical Forest,Tropical rain forests,Raw materials,Fuel wood and charcoal,India,Lower Middle Income,High density,Partially protected,Province / Region,"Himachal Pradesh Forests, India",Southern Asia,Asia," 32° 6'8.67""N"," 77°33'42.99""E",2000,FALSE,Direct market pricing,Annual,41.74,USD/ha/yr,US Dollar,,1434600,"Verma, M.",2000,"Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK.","Verma, M. (2000) Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK."
15,TRUE,Tropical Forest,Tropical rain forests,Raw materials,Timber,India,Lower Middle Income,High density,Partially protected,Province / Region,"Himachal Pradesh Forests, India",Southern Asia,Asia," 32° 6'8.67""N"," 77°33'42.99""E",2000,FALSE,Direct market pricing,Annual,9.13,USD/ha/yr,US Dollar,Based on timber for right holder,1434600,"Verma, M.",2000,"Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK.","Verma, M. (2000) Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK."
16,TRUE,Tropical Forest,Tropical rain forests,Raw materials,Fodder,India,Lower Middle Income,High density,Partially protected,Province / Region,"Himachal Pradesh Forests, India",Southern Asia,Asia," 32° 6'8.67""N"," 77°33'42.99""E",2000,FALSE,Direct market pricing,Annual,40.43,USD/ha/yr,US Dollar,,3698600,"Verma, M.",2000,"Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK.","Verma, M. (2000) Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK."
17,TRUE,Tropical Forest,Tropical rain forests,Food,NTFPs [food only!],India,Lower Middle Income,High density,Partially protected,Province / Region,"Himachal Pradesh Forests, India",Southern Asia,Asia," 32° 6'8.67""N"," 77°33'42.99""E",2000,FALSE,Direct market pricing,Annual,3.7,USD/ha/yr,US Dollar,,1434600,"Verma, M.",2000,"Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK.","Verma, M. (2000) Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK."
18,TRUE,Tropical Forest,Tropical rain forests,Recreation,Ecotourism,India,Lower Middle Income,High density,Partially protected,Province / Region,"Himachal Pradesh Forests, India",Southern Asia,Asia," 32° 6'8.67""N"," 77°33'42.99""E",2000,FALSE,Benefit Transfer,Annual,391.3,USD/ha/yr,US Dollar,The value has been estimated using all India averages based on certain case studies,3698600,"Verma, M.",2000,"Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK.","Verma, M. (2000) Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK."
20,TRUE,Tropical Forest,Tropical rain forests,Climate,Microclimate regulation,India,Lower Middle Income,High density,Partially protected,Province / Region,"Himachal Pradesh Forests, India",Southern Asia,Asia," 32° 6'8.67""N"," 77°33'42.99""E",2000,FALSE,Benefit Transfer,Annual,8.5,USD/ha/yr,US Dollar,,36986000,"Verma, M.",2000,"Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK.","Verma, M. (2000) Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK."
22,TRUE,Tropical Forest,Tropical rain forests,Genepool,Biodiversity protection,India,Lower Middle Income,High density,Partially protected,Province / Region,"Himachal Pradesh Forests, India",Southern Asia,Asia," 32° 6'8.67""N"," 77°33'42.99""E",2000,FALSE,Benefit Transfer,Annual,435,USD/ha/yr,US Dollar,,36986000,"Verma, M.",2000,"Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK.","Verma, M. (2000) Economic valuation of forests of Himachal Pradesh. International Institute for Environmental Development, London, UK."
23,TRUE,Tropical Forest,Tropical forest general,Food,NTFPs [food only!],Lao People's Democratic Republic,Low Income,Low density,Partially protected,Province / Region,"Sekong Province, Lao PDR",South-Eastern Asia,Asia," 15°34'36.28""N","107° 0'24.13""E",2003,FALSE,Direct market pricing,Annual,9.3,USD/ha/yr,US Dollar,,505700,"Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou",2005,"Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo.","Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou (2005) Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo."
24,TRUE,Tropical Forest,Tropical forest general,Raw materials,Timber,Lao People's Democratic Republic,Low Income,Low density,Partially protected,Province / Region,"Sekong Province, Lao PDR",South-Eastern Asia,Asia," 15°34'36.28""N","107° 0'24.13""E",2003,FALSE,Direct market pricing,Annual,10.5,USD/ha/yr,US Dollar,"Based on tax earning and export revenues; the assumption is made that timber values are expressed in terms of provincial
benefits rather than national ones.",505700,"Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou",2005,"Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo.","Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou (2005) Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo."
25,TRUE,Tropical Forest,Tropical forest general,Extreme events,Flood prevention,Lao People's Democratic Republic,Low Income,Low density,Partially protected,Province / Region,"Sekong Province, Lao PDR",South-Eastern Asia,Asia," 15°34'36.28""N","107° 0'24.13""E",2003,FALSE,Avoided Cost,Annual,92.3,USD/ha/yr,US Dollar,,288150,"Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou",2005,"Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo.","Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou (2005) Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo."
26,TRUE,Tropical Forest,Tropical forest general,Erosion,Erosion prevention,Lao People's Democratic Republic,Low Income,Low density,Partially protected,Province / Region,"Sekong Province, Lao PDR",South-Eastern Asia,Asia," 15°34'36.28""N","107° 0'24.13""E",2003,FALSE,Avoided Cost,Annual,2.97,USD/ha/yr,US Dollar,Loss of the value of fish catch and paddy rice production due to errosion and sedimentation caused by deforestation,288150,"Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou",2005,"Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo.","Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou (2005) Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo."
27,FALSE,Tropical Forest,Tropical forest general,Genepool,Biodiversity protection,Lao People's Democratic Republic,Low Income,Low density,Partially protected,Province / Region,"Sekong Province, Lao PDR",South-Eastern Asia,Asia," 15°34'36.28""N","107° 0'24.13""E",2003,FALSE,Other,Annual,0.07,USD/ha/yr,US Dollar,Only the total hectarage of protection and conservation forests is used to compute for the value of biodiversity conservation,124161,"Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou",2005,"Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo.","Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou (2005) Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo."
28,TRUE,Tropical Forest,Tropical forest general,Medical,Biochemicals,Lao People's Democratic Republic,Low Income,Low density,Partially protected,Province / Region,"Sekong Province, Lao PDR",South-Eastern Asia,Asia," 15°34'36.28""N","107° 0'24.13""E",2003,FALSE,Benefit Transfer,Annual (Range),0.33,USD/ha/yr,US Dollar,"Based on the WTP of Pharmacutical Companies to Preserve a Hectare of Land in 18 Biodiversity Hotspots
Six",124161,"Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou",2005,"Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo.","Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou (2005) Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo."
29,FALSE,Tropical Forest,Tropical forest general,Climate,C-sequestration,Lao People's Democratic Republic,Low Income,Low density,Partially protected,Province / Region,"Sekong Province, Lao PDR",South-Eastern Asia,Asia," 15°34'36.28""N","107° 0'24.13""E",2003,FALSE,Benefit Transfer,Annual,1284,USD/ha/yr,US Dollar,,505700,"Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou",2005,"Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo.","Rosales, R.M.P., M.F. Kallesoe, P. Gerrard, P. Muangchanh, S. Phomtavong and S. Khamsomphou (2005) Balancing the returns to catchment management. IUCN Water, Nature and Economics Technical Paper 5, IUCN, ecosystems and livelihoods group Asia, Colombo."
30,TRUE,Forests [Temperate and Boreal],Boreal / coniferous Forests,Raw materials,Timber,Canada,High Income: (OECD),Low density,Partially protected,Country,"Boreal region, Canada",Northern America,Americas, 60°00'N, 95°00'W,2002,FALSE,Direct market pricing,Annual,61.41000475,CAD/ha/yr,Canadian Dollar,estimated based on market value of forestry-related GDP in the boreal region,241985000,"Anielski, M. and S.J. Wilson",2005,"Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian.","Anielski, M. and S.J. Wilson (2005) Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian."
31,FALSE,Forests [Temperate and Boreal],Boreal / coniferous Forests,Climate,C-sequestration,Canada,High Income: (OECD),Low density,Partially protected,Country,"Boreal region, Canada",Northern America,Americas, 60°00'N, 95°00'W,2002,FALSE,Replacement Cost,Annual,3227,CAD/ha/yr,Canadian Dollar,"Value of carbon stored based on the replecement cost of afforestation on the mariginal agricultural land (Kulshreshtha et al., 2000)",241985000,"Anielski, M. and S.J. Wilson",2005,"Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian.","Anielski, M. and S.J. Wilson (2005) Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian."
32,TRUE,Forests [Temperate and Boreal],Boreal / coniferous Forests,Climate,C-sequestration,Canada,High Income: (OECD),Low density,Partially protected,Country,"Boreal region, Canada",Northern America,Americas, 60°00'N, 95°00'W,2002,FALSE,Benefit Transfer,Annual,7.03,CAD/ha/yr,Canadian Dollar,Based on cost of replecement value through afforestation,241985000,"Anielski, M. and S.J. Wilson",2005,"Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian.","Anielski, M. and S.J. Wilson (2005) Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian."
33,TRUE,Forests [Temperate and Boreal],Boreal / coniferous Forests,Water,Drinking water,Canada,High Income: (OECD),Low density,Partially protected,Country,"Boreal region, Canada",Northern America,Americas, 60°00'N, 95°00'W,2002,FALSE,Direct market pricing,Annual,0.076037771,CAD/ha/yr,Canadian Dollar,"Watershed service: municipal water use  
metres/year",241985000,"Anielski, M. and S.J. Wilson",2005,"Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian.","Anielski, M. and S.J. Wilson (2005) Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian."
34,TRUE,Forests [Temperate and Boreal],Boreal / coniferous Forests,Food,NTFPs [food only!],Canada,High Income: (OECD),Low density,Partially protected,Country,"Boreal region, Canada",Northern America,Americas, 60°00'N, 95°00'W,2002,FALSE,Direct market pricing,Annual,0.326466517,CAD/ha/yr,Canadian Dollar,"Underestimate. Including NTFPs-  Mushrooms, barries and wild rice",241985000,"Anielski, M. and S.J. Wilson",2005,"Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian.","Anielski, M. and S.J. Wilson (2005) Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian."
35,TRUE,Forests [Temperate and Boreal],Boreal / coniferous Forests,BioControl,Pest control,Canada,High Income: (OECD),Low density,Partially protected,Country,"Boreal region, Canada",Northern America,Americas, 60°00'N, 95°00'W,2002,FALSE,Benefit Transfer,Annual,22.31543277,CAD/ha/yr,Canadian Dollar,"replacement cost by pesticides [104 Moskowitz and Talberth, The Economic Case Against Logging our National Forests]",241985000,"Anielski, M. and S.J. Wilson",2005,"Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian.","Anielski, M. and S.J. Wilson (2005) Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian."
36,TRUE,Forests [Temperate and Boreal],Boreal / coniferous Forests,Genepool,Biodiversity protection,Canada,High Income: (OECD),Low density,Partially protected,Country,"Boreal region, Canada",Northern America,Americas, 60°00'N, 95°00'W,2002,FALSE,Benefit Transfer,Annual,0.049589851,CAD/ha/yr,Canadian Dollar,"Original data from M.Tanguay,W. L. Adamowicz, P. Boxall, W. Phillips, and W. White 1993. A Socio-economic Evaluation of Woodland Caribou in Northwestern Saskatchewan; ($16.81 per household per year in 2002CA$)",241985000,"Anielski, M. and S.J. Wilson",2005,"Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian.","Anielski, M. and S.J. Wilson (2005) Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian."
37,TRUE,Inland Wetlands,Swamps / marshes,Extreme events,Flood prevention,Canada,High Income: (OECD),Low density,Partially protected,Country,"Boreal region, Canada",Northern America,Americas, 60°00'N, 95°00'W,2002,FALSE,Benefit Transfer,Annual,571,CAD/ha/yr,Canadian Dollar,The ecosystem considered_ Boreal Mineral wetlands ( excludes  peatlands). The estimated value was based on the average wetland values from the meta analysis,2836800,"Anielski, M. and S.J. Wilson",2005,"Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian.","Anielski, M. and S.J. Wilson (2005) Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian."
38,TRUE,Inland Wetlands,Swamps / marshes,Genepool,Biodiversity protection,Canada,High Income: (OECD),Low density,Partially protected,Country,"Boreal region, Canada",Northern America,Americas, 60°00'N, 95°00'W,2002,FALSE,Benefit Transfer,Annual,263,CAD/ha/yr,Canadian Dollar,,2836800,"Anielski, M. and S.J. Wilson",2005,"Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian.","Anielski, M. and S.J. Wilson (2005) Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian."
39,FALSE,Inland Wetlands,Peat wetlands,Climate,C-sequestration,Canada,High Income: (OECD),Low density,Partially protected,Country,"Boreal region, Canada",Northern America,Americas, 60°00'N, 95°00'W,2002,FALSE,Benefit Transfer,Total Economic Value,5.04328E-05,CAD/ha,Canadian Dollar,,83199800,"Anielski, M. and S.J. Wilson",2005,"Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian.","Anielski, M. and S.J. Wilson (2005) Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian."
40,TRUE,Inland Wetlands,Peat wetlands,Climate,C-sequestration,Canada,High Income: (OECD),Low density,Partially protected,Country,"Boreal region, Canada",Northern America,Americas, 60°00'N, 95°00'W,2002,FALSE,Benefit Transfer,Annual,4.6,CAD/ha/yr,Canadian Dollar,,83199800,"Anielski, M. and S.J. Wilson",2005,"Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian.","Anielski, M. and S.J. Wilson (2005) Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian."
41,TRUE,Inland Wetlands,Peat wetlands,Extreme events,Flood prevention,Canada,High Income: (OECD),Low density,Partially protected,Country,"Boreal region, Canada",Northern America,Americas, 60°00'N, 95°00'W,2002,FALSE,Benefit Transfer,Annual,926,CAD/ha/yr,Canadian Dollar,,83199800,"Anielski, M. and S.J. Wilson",2005,"Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian.","Anielski, M. and S.J. Wilson (2005) Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian."
42,FALSE,Multiple Ecosystems,Multiple ecosystems,Recreation,Recreation,Canada,High Income: (OECD),Low density,Partially protected,Country,"Boreal region, Canada",Northern America,Americas, 60°00'N, 95°00'W,2002,FALSE,Benefit Transfer,Annual,18.59619398,CAD/ha/yr,Canadian Dollar,,241985000,"Anielski, M. and S.J. Wilson",2005,"Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian.","Anielski, M. and S.J. Wilson (2005) Counting Canada’s natural capital: assessing the real value of Canada’s boreal ecosystems. Canadian Boreal initiative, Pembina institute, Canadian."
43,TRUE,Coastal wetlands,Tidal Marsh,Extreme events,Flood prevention,Sri Lanka,Lower Middle Income,High density,Protected,Local,"Muthurajawela Wetland, Sri Lanka",Southern Asia,Asia,"  7°11'9.79""N"," 79°49'16.24""E",2002,FALSE,Benefit Transfer,Annual,158249.6741,LKR/ha/yr,Sri Lanka Rupee,"Cost estimates for this type of flood control measures are available for Mudu Ela wetland, which lies along the Kalani River just to the south of Muthurajawela.",3068,"Emerton, L. and L.D.C.B. Kekulandala",2003,"Assessment of the economic value of Muthurajawela Wetland. Working Paper. IUCN, Sir Lanka, 28pp.","Emerton, L. and L.D.C.B. Kekulandala (2003) Assessment of the economic value of Muthurajawela Wetland. Working Paper. IUCN, Sir Lanka, 28pp."
